abitare
accendere
addormentarsi
aiutare
amare
andare
annoiarsi
aprire
arrivare
ascoltare
aspettare
avere
baciare
ballare
bere
cambiare
camminare
cantare
capire
cenare
cercare
chiamare
chiedere
chiudere
cominciare
comprare
conoscere
continuare
correre
costare
credere
cucinare
cuocere
dare
dimenticare
dire
diventare
divorziare
domandare
dormire
dovere
entrare
esistere
essere
fare
finire
giocare
guardare
imparare
interessare
lasciare
lavare
lavorare
leggere
mandare
mangiare
mettere
morire
nascere
nevicare
nuotare
organizzare
pagare
parlare
partire
pensare
perdere
piacere
piovere
portare
potere
pranzare
preferire
prendere
provare
regalare
ricordare
ridere
rimanere
ripetere
rispondere
ritornare
salire
salutare
sapere
scendere
scrivere
scusare
sentire
spegnere
sperare
sposare
stare
studiare
suonare
svegliarsi
telefonare
tornare
trovare
usare
uscire
vedere
vendere
venire
vestirsi
viaggiare
vietare
visitare
vivere
volare
volere
