abitante
acqua
aereo
aeroporto
agosto
aiuto
albergo
albero
amica
amore
andata
animale
anno
appartamento
aprile
arrivo
arte
artista
attenzione
auto
autobus
autunno
bacio
bagno
bambina/bambino
banca
bar
barista
bicchiere
bicicletta
biglietto
binario
birra
bistecca
bocca
borsa
bottiglia
bruschetta
caffè
caffelatte
calendario
camera
cameriera/cameri
camicia
campagna
cane
cantante
canzone
capello
capitale
capodanno
cappuccino
carabiniere
carattere
carne
carnevale
cartadicredito
casa
casalinga
casino
cassa
cena
centro
chiave
chiesa
chilo
chilometro
cielo
cinema
cioccolata/ciocc
città
cognome
colazione
colore
coltello
compleanno
cornetto
costo
cucina
cugina/cugino
cultura
destra
dialetto
dicembre
direttore/dirett
discoteca
doccia
domanda
domenica
donna
dottore/dottores
droga
entrata
erba
errore
esempio
est
estate
euro
fame
famiglia
fantasia
febbraio
femmina
fermata
Ferragosto
festa
fidanzata/fidanz
figlia/figlio
film
finestra
fiore
firma
fiume
formaggio
fortuna
foto(grafia)
fratello
frutta
fumo
fuoco
futuro
gatto
gelato
genitore
gennaio
gente
giacca
giardino
gioco
giornale
giornali
giorno
giovedì
giugno
gruppo
idea
immigrato
immigrazione
indirizzo
informazione
insalata
insegnante
inverno
isola
istituto
lago
latte
lavoratore
lavoro
legno
letto
libertà
libro
lingua
luglio
luna
lunedì
macchina
madre
mafia
mafioso
maggio
malato
male
mamma
mano
mare
marito
martedì
marzo
mattina
medicina
medico
mercoledì
mese
metallo
metropolitana
mezzanotte
mezzogiorno
minestra
minestrone
minuto
moda
moglie
momento
mondo
montagna
monumento
muro
museo
musica
naso
Natale
nave
nazionalità
nazione
ndrangheta
negozio
neve
nipote
noia
nome
nonna
nord
notte
novembre
numero
occhio
olio
ora
orecchio
oro
orologio
ospedale
ottobre
ovest
padre
paese
palazzo
pallone
pane
pantalone
papà
parco
parente
parola
Pasqua
passeggiata
pasta
patata
paura
pazzo
penna
pepe
persona
pesce
piatto
piazza
piede
pioggia
pizza
pizzeria
politica
polizia
poliziotto
pollo
pomeriggio
pomodoro
ponte
porta
porto
possibilità
posta
pranzo
presidente
prezzo
primavera
problema
professore
ragazza
regista
religione
repubblica
ristorante
ritorno
rosa
sabato
salame
sale
salotto
scarpa
scuola
secolo
secondo
sedia
sera
sesso
sete
settembre
settimana
sigaretta
signora
sinistra
sole
sonno
sorella
sport
stadio
stagione
stanza
stazione
storia
strada
straniero
studente
sud
suocera
tavolo
taxi
tazza
teatro
telefonino
telefono
televisione
tempo
testa
tiramisù
torta
traffico
tram
treno
turista
università
uomo
vacanza
venerdì
vestito
vetro
via
viaggio
villa
vino
visto
vita
volta
zia
zucchero
